key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-agent-1,true,"UserIdentity{name:'Nicolás', surname: 'Parrilla', email:'xxxxxxx@gmail.com'}",agent1,agent1
user-account-agent-2,true,"UserIdentity{name:'Ainhoa', surname: 'Jimenez', email:'xxxxxyy@gmail.com'}",agent2,agent2
user-account-agent-3,true,"UserIdentity{name:'Lionel', surname: 'Messi', email:'xxyxxyy@gmail.com'}",agent3,agent3
user-account-flight-crew-member-01,true,"UserIdentity{name:'Cristiano', surname: 'Ronaldo', email:'cristiano@acme.com'}",member1,member1
user-account-flight-crew-member-02,true,"UserIdentity{name:'زين', surname: 'زين الفاروق', email:'zayn@acme.com'}",member2,member2
user-account-flight-crew-member-03,true,"UserIdentity{name:'明泽', surname: '龙', email:'mingze@acme.com'}",member3,member3
user-account-flight-crew-member-04,true,"UserIdentity{name:'Javier', surname: 'Luque', email:'javier@acme.com'}",member4,member4
user-account-flight-crew-member-05,true,"UserIdentity{name:'Björn', surname: 'Magnússon', email:'björn@acme.com'}",member,member
user-account-manager-1,true,"UserIdentity{name:'Juan', surname: 'Valiente', email:'juanvaliente@gmail.com'}",manager1,manager1
user-account-manager-2,true,"UserIdentity{name:'Pepe', surname: 'Moreno', email:'pepemoreno@gmail.com'}",manager2,manager2
user-account-customer-01,true,"UserIdentity{name:'Dani', surname: 'Olmo', email:'daniolmo@gmail.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name:'Lamine', surname: 'Yamal', email:'lamineyamal@outlook.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name:'Julian', surname: 'Álvarez', email:'julialva@acme.com'}",customer3,customer3
user-account-manager-3,true,"UserIdentity{name:'Bob', surname: 'Dylan', email:'bobdylan@gmail.com'}",manager3,manager3

